scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score,image_preview_url,source_rgb_shard,source_depth_shard,source_mask_shard,caption
scene021.phase1,scene021,1,interaction,easy,0.431925,medium,0.481681,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene021_phase1.jpg,scenes/scene021/1/rgb.tar,scenes/scene021/1/depth.tar,scenes/scene021/1/labels/masks/v1.tar,"Video-layout preview still for scene021.phase1 (interaction, easy, RPX-DS 0.432)."
scene022.phase0,scene022,0,clutter,easy,0.301733,easy,0.291817,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene022_phase0.jpg,scenes/scene022/0/rgb.tar,scenes/scene022/0/depth.tar,scenes/scene022/0/labels/masks/v1.tar,"Video-layout preview still for scene022.phase0 (clutter, easy, RPX-DS 0.302)."
scene022.phase1,scene022,1,interaction,easy,0.291983,easy,0.291817,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene022_phase1.jpg,scenes/scene022/1/rgb.tar,scenes/scene022/1/depth.tar,scenes/scene022/1/labels/masks/v1.tar,"Video-layout preview still for scene022.phase1 (interaction, easy, RPX-DS 0.292)."
scene022.phase2,scene022,2,clean,easy,0.281733,easy,0.291817,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene022_phase2.jpg,scenes/scene022/2/rgb.tar,scenes/scene022/2/depth.tar,scenes/scene022/2/labels/masks/v1.tar,"Video-layout preview still for scene022.phase2 (clean, easy, RPX-DS 0.282)."
scene023.phase1,scene023,1,interaction,easy,0.359450,easy,0.421014,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene023_phase1.jpg,scenes/scene023/1/rgb.tar,scenes/scene023/1/depth.tar,scenes/scene023/1/labels/masks/v1.tar,"Video-layout preview still for scene023.phase1 (interaction, easy, RPX-DS 0.359)."
scene023.phase2,scene023,2,clean,easy,0.423408,easy,0.421014,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene023_phase2.jpg,scenes/scene023/2/rgb.tar,scenes/scene023/2/depth.tar,scenes/scene023/2/labels/masks/v1.tar,"Video-layout preview still for scene023.phase2 (clean, easy, RPX-DS 0.423)."
scene024.phase1,scene024,1,interaction,easy,0.318133,easy,0.412094,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene024_phase1.jpg,scenes/scene024/1/rgb.tar,scenes/scene024/1/depth.tar,scenes/scene024/1/labels/masks/v1.tar,"Video-layout preview still for scene024.phase1 (interaction, easy, RPX-DS 0.318)."
scene025.phase1,scene025,1,interaction,easy,0.428242,medium,0.466844,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene025_phase1.jpg,scenes/scene025/1/rgb.tar,scenes/scene025/1/depth.tar,scenes/scene025/1/labels/masks/v1.tar,"Video-layout preview still for scene025.phase1 (interaction, easy, RPX-DS 0.428)."
scene025.phase2,scene025,2,clean,easy,0.443317,medium,0.466844,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene025_phase2.jpg,scenes/scene025/2/rgb.tar,scenes/scene025/2/depth.tar,scenes/scene025/2/labels/masks/v1.tar,"Video-layout preview still for scene025.phase2 (clean, easy, RPX-DS 0.443)."
scene026.phase1,scene026,1,interaction,easy,0.367933,easy,0.456700,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene026_phase1.jpg,scenes/scene026/1/rgb.tar,scenes/scene026/1/depth.tar,scenes/scene026/1/labels/masks/v1.tar,"Video-layout preview still for scene026.phase1 (interaction, easy, RPX-DS 0.368)."
scene027.phase1,scene027,1,interaction,easy,0.394333,hard,0.544003,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene027_phase1.jpg,scenes/scene027/1/rgb.tar,scenes/scene027/1/depth.tar,scenes/scene027/1/labels/masks/v1.tar,"Video-layout preview still for scene027.phase1 (interaction, easy, RPX-DS 0.394)."
scene028.phase1,scene028,1,interaction,easy,0.382133,medium,0.500117,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene028_phase1.jpg,scenes/scene028/1/rgb.tar,scenes/scene028/1/depth.tar,scenes/scene028/1/labels/masks/v1.tar,"Video-layout preview still for scene028.phase1 (interaction, easy, RPX-DS 0.382)."
scene029.phase0,scene029,0,clutter,easy,0.435033,easy,0.413000,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene029_phase0.jpg,scenes/scene029/0/rgb.tar,scenes/scene029/0/depth.tar,scenes/scene029/0/labels/masks/v1.tar,"Video-layout preview still for scene029.phase0 (clutter, easy, RPX-DS 0.435)."
scene029.phase1,scene029,1,interaction,easy,0.339533,easy,0.413000,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene029_phase1.jpg,scenes/scene029/1/rgb.tar,scenes/scene029/1/depth.tar,scenes/scene029/1/labels/masks/v1.tar,"Video-layout preview still for scene029.phase1 (interaction, easy, RPX-DS 0.340)."
scene030.phase1,scene030,1,interaction,easy,0.356233,easy,0.432950,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene030_phase1.jpg,scenes/scene030/1/rgb.tar,scenes/scene030/1/depth.tar,scenes/scene030/1/labels/masks/v1.tar,"Video-layout preview still for scene030.phase1 (interaction, easy, RPX-DS 0.356)."
scene031.phase0,scene031,0,clutter,easy,0.400333,easy,0.363217,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene031_phase0.jpg,scenes/scene031/0/rgb.tar,scenes/scene031/0/depth.tar,scenes/scene031/0/labels/masks/v1.tar,"Video-layout preview still for scene031.phase0 (clutter, easy, RPX-DS 0.400)."
scene031.phase1,scene031,1,interaction,easy,0.332283,easy,0.363217,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene031_phase1.jpg,scenes/scene031/1/rgb.tar,scenes/scene031/1/depth.tar,scenes/scene031/1/labels/masks/v1.tar,"Video-layout preview still for scene031.phase1 (interaction, easy, RPX-DS 0.332)."
scene031.phase2,scene031,2,clean,easy,0.357033,easy,0.363217,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene031_phase2.jpg,scenes/scene031/2/rgb.tar,scenes/scene031/2/depth.tar,scenes/scene031/2/labels/masks/v1.tar,"Video-layout preview still for scene031.phase2 (clean, easy, RPX-DS 0.357)."
scene032.phase0,scene032,0,clutter,easy,0.363383,easy,0.382250,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene032_phase0.jpg,scenes/scene032/0/rgb.tar,scenes/scene032/0/depth.tar,scenes/scene032/0/labels/masks/v1.tar,"Video-layout preview still for scene032.phase0 (clutter, easy, RPX-DS 0.363)."
scene032.phase1,scene032,1,interaction,easy,0.423733,easy,0.382250,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene032_phase1.jpg,scenes/scene032/1/rgb.tar,scenes/scene032/1/depth.tar,scenes/scene032/1/labels/masks/v1.tar,"Video-layout preview still for scene032.phase1 (interaction, easy, RPX-DS 0.424)."
scene032.phase2,scene032,2,clean,easy,0.359633,easy,0.382250,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene032_phase2.jpg,scenes/scene032/2/rgb.tar,scenes/scene032/2/depth.tar,scenes/scene032/2/labels/masks/v1.tar,"Video-layout preview still for scene032.phase2 (clean, easy, RPX-DS 0.360)."
scene034.phase0,scene034,0,clutter,easy,0.437067,easy,0.431028,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene034_phase0.jpg,scenes/scene034/0/rgb.tar,scenes/scene034/0/depth.tar,scenes/scene034/0/labels/masks/v1.tar,"Video-layout preview still for scene034.phase0 (clutter, easy, RPX-DS 0.437)."
scene034.phase1,scene034,1,interaction,easy,0.335633,easy,0.431028,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene034_phase1.jpg,scenes/scene034/1/rgb.tar,scenes/scene034/1/depth.tar,scenes/scene034/1/labels/masks/v1.tar,"Video-layout preview still for scene034.phase1 (interaction, easy, RPX-DS 0.336)."
scene035.phase1,scene035,1,interaction,easy,0.387975,easy,0.414164,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene035_phase1.jpg,scenes/scene035/1/rgb.tar,scenes/scene035/1/depth.tar,scenes/scene035/1/labels/masks/v1.tar,"Video-layout preview still for scene035.phase1 (interaction, easy, RPX-DS 0.388)."
scene035.phase2,scene035,2,clean,easy,0.339733,easy,0.414164,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene035_phase2.jpg,scenes/scene035/2/rgb.tar,scenes/scene035/2/depth.tar,scenes/scene035/2/labels/masks/v1.tar,"Video-layout preview still for scene035.phase2 (clean, easy, RPX-DS 0.340)."
scene036.phase0,scene036,0,clutter,easy,0.427183,medium,0.492242,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene036_phase0.jpg,scenes/scene036/0/rgb.tar,scenes/scene036/0/depth.tar,scenes/scene036/0/labels/masks/v1.tar,"Video-layout preview still for scene036.phase0 (clutter, easy, RPX-DS 0.427)."
scene036.phase1,scene036,1,interaction,easy,0.423883,medium,0.492242,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene036_phase1.jpg,scenes/scene036/1/rgb.tar,scenes/scene036/1/depth.tar,scenes/scene036/1/labels/masks/v1.tar,"Video-layout preview still for scene036.phase1 (interaction, easy, RPX-DS 0.424)."
scene037.phase1,scene037,1,interaction,easy,0.379133,easy,0.448586,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene037_phase1.jpg,scenes/scene037/1/rgb.tar,scenes/scene037/1/depth.tar,scenes/scene037/1/labels/masks/v1.tar,"Video-layout preview still for scene037.phase1 (interaction, easy, RPX-DS 0.379)."
scene037.phase2,scene037,2,clean,easy,0.429333,easy,0.448586,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene037_phase2.jpg,scenes/scene037/2/rgb.tar,scenes/scene037/2/depth.tar,scenes/scene037/2/labels/masks/v1.tar,"Video-layout preview still for scene037.phase2 (clean, easy, RPX-DS 0.429)."
scene038.phase0,scene038,0,clutter,easy,0.416433,easy,0.453461,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene038_phase0.jpg,scenes/scene038/0/rgb.tar,scenes/scene038/0/depth.tar,scenes/scene038/0/labels/masks/v1.tar,"Video-layout preview still for scene038.phase0 (clutter, easy, RPX-DS 0.416)."
scene038.phase1,scene038,1,interaction,easy,0.379833,easy,0.453461,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene038_phase1.jpg,scenes/scene038/1/rgb.tar,scenes/scene038/1/depth.tar,scenes/scene038/1/labels/masks/v1.tar,"Video-layout preview still for scene038.phase1 (interaction, easy, RPX-DS 0.380)."
scene004.phase0,scene004,0,clutter,easy,0.433933,easy,0.459281,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene004_phase0.jpg,scenes/scene004/0/rgb.tar,scenes/scene004/0/depth.tar,scenes/scene004/0/labels/masks/v1.tar,"Video-layout preview still for scene004.phase0 (clutter, easy, RPX-DS 0.434)."
scene004.phase2,scene004,2,clean,easy,0.392333,easy,0.459281,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene004_phase2.jpg,scenes/scene004/2/rgb.tar,scenes/scene004/2/depth.tar,scenes/scene004/2/labels/masks/v1.tar,"Video-layout preview still for scene004.phase2 (clean, easy, RPX-DS 0.392)."
scene047.phase2,scene047,2,clean,easy,0.407633,medium,0.503744,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene047_phase2.jpg,scenes/scene047/2/rgb.tar,scenes/scene047/2/depth.tar,scenes/scene047/2/labels/masks/v1.tar,"Video-layout preview still for scene047.phase2 (clean, easy, RPX-DS 0.408)."
scene048.phase2,scene048,2,clean,easy,0.408533,medium,0.496181,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene048_phase2.jpg,scenes/scene048/2/rgb.tar,scenes/scene048/2/depth.tar,scenes/scene048/2/labels/masks/v1.tar,"Video-layout preview still for scene048.phase2 (clean, easy, RPX-DS 0.409)."
scene051.phase0,scene051,0,clutter,easy,0.403100,easy,0.426236,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene051_phase0.jpg,scenes/scene051/0/rgb.tar,scenes/scene051/0/depth.tar,scenes/scene051/0/labels/masks/v1.tar,"Video-layout preview still for scene051.phase0 (clutter, easy, RPX-DS 0.403)."
scene051.phase1,scene051,1,interaction,easy,0.433675,easy,0.426236,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene051_phase1.jpg,scenes/scene051/1/rgb.tar,scenes/scene051/1/depth.tar,scenes/scene051/1/labels/masks/v1.tar,"Video-layout preview still for scene051.phase1 (interaction, easy, RPX-DS 0.434)."
scene051.phase2,scene051,2,clean,easy,0.441933,easy,0.426236,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene051_phase2.jpg,scenes/scene051/2/rgb.tar,scenes/scene051/2/depth.tar,scenes/scene051/2/labels/masks/v1.tar,"Video-layout preview still for scene051.phase2 (clean, easy, RPX-DS 0.442)."
scene053.phase0,scene053,0,clutter,easy,0.377983,easy,0.421325,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene053_phase0.jpg,scenes/scene053/0/rgb.tar,scenes/scene053/0/depth.tar,scenes/scene053/0/labels/masks/v1.tar,"Video-layout preview still for scene053.phase0 (clutter, easy, RPX-DS 0.378)."
scene053.phase2,scene053,2,clean,easy,0.410733,easy,0.421325,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene053_phase2.jpg,scenes/scene053/2/rgb.tar,scenes/scene053/2/depth.tar,scenes/scene053/2/labels/masks/v1.tar,"Video-layout preview still for scene053.phase2 (clean, easy, RPX-DS 0.411)."
scene054.phase0,scene054,0,clutter,easy,0.405267,easy,0.407875,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene054_phase0.jpg,scenes/scene054/0/rgb.tar,scenes/scene054/0/depth.tar,scenes/scene054/0/labels/masks/v1.tar,"Video-layout preview still for scene054.phase0 (clutter, easy, RPX-DS 0.405)."
scene054.phase2,scene054,2,clean,easy,0.349233,easy,0.407875,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene054_phase2.jpg,scenes/scene054/2/rgb.tar,scenes/scene054/2/depth.tar,scenes/scene054/2/labels/masks/v1.tar,"Video-layout preview still for scene054.phase2 (clean, easy, RPX-DS 0.349)."
scene055.phase0,scene055,0,clutter,easy,0.358183,easy,0.403175,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene055_phase0.jpg,scenes/scene055/0/rgb.tar,scenes/scene055/0/depth.tar,scenes/scene055/0/labels/masks/v1.tar,"Video-layout preview still for scene055.phase0 (clutter, easy, RPX-DS 0.358)."
scene055.phase1,scene055,1,interaction,easy,0.426633,easy,0.403175,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene055_phase1.jpg,scenes/scene055/1/rgb.tar,scenes/scene055/1/depth.tar,scenes/scene055/1/labels/masks/v1.tar,"Video-layout preview still for scene055.phase1 (interaction, easy, RPX-DS 0.427)."
scene055.phase2,scene055,2,clean,easy,0.424708,easy,0.403175,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene055_phase2.jpg,scenes/scene055/2/rgb.tar,scenes/scene055/2/depth.tar,scenes/scene055/2/labels/masks/v1.tar,"Video-layout preview still for scene055.phase2 (clean, easy, RPX-DS 0.425)."
scene056.phase1,scene056,1,interaction,easy,0.357083,medium,0.474803,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene056_phase1.jpg,scenes/scene056/1/rgb.tar,scenes/scene056/1/depth.tar,scenes/scene056/1/labels/masks/v1.tar,"Video-layout preview still for scene056.phase1 (interaction, easy, RPX-DS 0.357)."
scene057.phase0,scene057,0,clutter,easy,0.425167,easy,0.414489,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene057_phase0.jpg,scenes/scene057/0/rgb.tar,scenes/scene057/0/depth.tar,scenes/scene057/0/labels/masks/v1.tar,"Video-layout preview still for scene057.phase0 (clutter, easy, RPX-DS 0.425)."
scene057.phase1,scene057,1,interaction,easy,0.420167,easy,0.414489,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene057_phase1.jpg,scenes/scene057/1/rgb.tar,scenes/scene057/1/depth.tar,scenes/scene057/1/labels/masks/v1.tar,"Video-layout preview still for scene057.phase1 (interaction, easy, RPX-DS 0.420)."
scene057.phase2,scene057,2,clean,easy,0.398133,easy,0.414489,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene057_phase2.jpg,scenes/scene057/2/rgb.tar,scenes/scene057/2/depth.tar,scenes/scene057/2/labels/masks/v1.tar,"Video-layout preview still for scene057.phase2 (clean, easy, RPX-DS 0.398)."
scene058.phase2,scene058,2,clean,easy,0.415233,medium,0.509889,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene058_phase2.jpg,scenes/scene058/2/rgb.tar,scenes/scene058/2/depth.tar,scenes/scene058/2/labels/masks/v1.tar,"Video-layout preview still for scene058.phase2 (clean, easy, RPX-DS 0.415)."
scene059.phase0,scene059,0,clutter,easy,0.395333,easy,0.427314,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene059_phase0.jpg,scenes/scene059/0/rgb.tar,scenes/scene059/0/depth.tar,scenes/scene059/0/labels/masks/v1.tar,"Video-layout preview still for scene059.phase0 (clutter, easy, RPX-DS 0.395)."
scene059.phase2,scene059,2,clean,easy,0.422133,easy,0.427314,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene059_phase2.jpg,scenes/scene059/2/rgb.tar,scenes/scene059/2/depth.tar,scenes/scene059/2/labels/masks/v1.tar,"Video-layout preview still for scene059.phase2 (clean, easy, RPX-DS 0.422)."
scene006.phase1,scene006,1,interaction,easy,0.415050,medium,0.489561,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene006_phase1.jpg,scenes/scene006/1/rgb.tar,scenes/scene006/1/depth.tar,scenes/scene006/1/labels/masks/v1.tar,"Video-layout preview still for scene006.phase1 (interaction, easy, RPX-DS 0.415)."
scene060.phase0,scene060,0,clutter,easy,0.405633,easy,0.418358,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene060_phase0.jpg,scenes/scene060/0/rgb.tar,scenes/scene060/0/depth.tar,scenes/scene060/0/labels/masks/v1.tar,"Video-layout preview still for scene060.phase0 (clutter, easy, RPX-DS 0.406)."
scene060.phase2,scene060,2,clean,easy,0.383633,easy,0.418358,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene060_phase2.jpg,scenes/scene060/2/rgb.tar,scenes/scene060/2/depth.tar,scenes/scene060/2/labels/masks/v1.tar,"Video-layout preview still for scene060.phase2 (clean, easy, RPX-DS 0.384)."
scene066.phase0,scene066,0,clutter,easy,0.432083,easy,0.431617,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene066_phase0.jpg,scenes/scene066/0/rgb.tar,scenes/scene066/0/depth.tar,scenes/scene066/0/labels/masks/v1.tar,"Video-layout preview still for scene066.phase0 (clutter, easy, RPX-DS 0.432)."
scene066.phase1,scene066,1,interaction,easy,0.397733,easy,0.431617,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene066_phase1.jpg,scenes/scene066/1/rgb.tar,scenes/scene066/1/depth.tar,scenes/scene066/1/labels/masks/v1.tar,"Video-layout preview still for scene066.phase1 (interaction, easy, RPX-DS 0.398)."
scene068.phase0,scene068,0,clutter,easy,0.392533,easy,0.424100,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene068_phase0.jpg,scenes/scene068/0/rgb.tar,scenes/scene068/0/depth.tar,scenes/scene068/0/labels/masks/v1.tar,"Video-layout preview still for scene068.phase0 (clutter, easy, RPX-DS 0.393)."
