,iter_mean,iter_max,obj_mean,obj_std,obj_consist,occ_mean,occ_p90,occ_heavy,depth_invalid,depth_invalid_mask,depth_std,depth_std_mask,specular,dark,area_cv,area_drop,vis_instability,trans_mean,trans_p90,rot_mean,rot_p90,jerk,fisheye_dark,fisheye_bright,fisheye_sharpness,fisheye_corr,fisheye_texture
depth_std_mask,0.023646639250663126,0.024062813257409,0.06719642512446078,0.05936381654111744,0.10478982704863138,0.25975007368685743,0.23285343388964397,0.13374038335431315,0.21540191512594564,0.08206075903682963,0.23674014189982762,,0.07985378975180857,0.12216561414292548,0.04505571955603327,0.06498915302346697,0.08418209790108211,0.1609872881395411,0.22067747311569685,0.21424366825814656,0.101053416756268,0.05900283779017035,0.14372942550836565,0.13043965422948056,0.13032280013653108,0.07820987144842362,0.15612851801430305
specular,0.0,0.01603529116757385,0.025803544871917605,0.037857799359622524,0.0272889571005408,0.019978979217447623,0.0,0.03845408360134961,0.29589096594876385,0.06917116692664593,0.26658855160127737,0.07985378975180857,,0.09393488374755599,0.06348973541902314,0.0,0.0,0.02013054678125048,0.020381342627042942,0.060526937743067055,0.10476576595086384,0.0,0.19765055130880604,0.16645086615337412,0.2594627071924347,0.08248222259356042,0.3160534554763197
dark,0.00787594022993554,0.027457807823326963,0.0,0.0,0.0,0.048330492207601106,0.06445373957055667,0.09280161664952447,0.2597022090862118,0.0,0.12108711364106362,0.12216561414292548,0.09393488374755599,,0.13041171751683844,0.0,0.0,0.0,0.0367851051818624,0.042692830995374687,0.10017953973904126,0.016951191459365855,0.19587304500371427,0.23198876376254662,0.38633573714087244,0.17198688456811628,0.3329973979652654
area_cv,0.06208254311337913,0.0,0.014333178526344525,0.009916562731817402,0.009015096062395367,0.0,0.0039002913959997887,0.0,0.08494402537515833,0.0,0.13426488148456062,0.04505571955603327,0.06348973541902314,0.13041171751683844,,0.007333850744624337,0.037224260415070765,0.07280928935043729,0.05859146388139447,0.11884098231487372,0.022185005938543334,0.06683291745524533,0.0685525994346321,0.12831992485477328,0.06044548072344291,0.1298281969052666,0.07211212447351367
area_drop,0.08751601853421098,0.030711819623844505,0.503420559060189,0.552125598994607,0.5763118901872135,0.02799704056018104,0.0,0.026371659412390613,0.04284367629592123,0.0,0.0,0.06498915302346697,0.0,0.0,0.007333850744624337,,0.7789525846870433,0.026984064799848717,0.0273263037707141,0.12108214239049375,0.06477572613540694,0.0036564351352044167,0.024865251098971974,0.03641331142931681,0.003478147972590273,0.03759409061878438,0.07517576710474438
vis_instability,0.08221976068307701,0.04594071462528526,0.8739724605689823,0.9276725600014042,0.8862452158756842,0.04396158945639317,0.03995436817230025,0.023957454143311185,0.0,0.0,0.0,0.08418209790108211,0.0,0.0,0.037224260415070765,0.7789525846870433,,0.04463822856534927,0.0,0.10063284109158532,0.03150023314839778,0.0155710437650185,0.0,0.03554594995335947,0.0,0.0,0.033210645485246326
trans_mean,0.09936789408353142,0.007905224289644242,0.010741221879269514,0.0,0.0034915406712769936,0.11484618374194389,0.04616214312757716,0.04859835557272296,0.011682127206217752,0.026174861711715236,0.001672530064757094,0.1609872881395411,0.02013054678125048,0.0,0.07280928935043729,0.026984064799848717,0.04463822856534927,,1.0469750909568147,0.4951363450096451,0.3442105554208197,0.574634953721493,0.04399454292642524,0.08925253488300999,0.10583638298816478,0.01828510356627855,0.085816269064104
trans_p90,0.06639932056558906,0.0,0.0,0.0,0.0,0.04094294120141373,0.08763929859793729,0.0,0.04021896645932066,0.0,0.0012040923261462666,0.22067747311569685,0.020381342627042942,0.0367851051818624,0.05859146388139447,0.0273263037707141,0.0,1.0469750909568147,,0.38805709948026146,0.32914799081636725,0.8486432222877307,0.0014461830510015261,0.0021326367014915526,0.07649883871601149,0.07538045790821335,0.08258250586475113
rot_mean,0.0030915256107373335,0.032814776718895766,0.06725804157542892,0.07371498062876891,0.07845433218308862,0.12452836248271448,0.1214446301407548,0.08808308602887305,0.17448529870626484,0.023269637349370598,0.0786449302439165,0.21424366825814656,0.060526937743067055,0.042692830995374687,0.11884098231487372,0.12108214239049375,0.10063284109158532,0.4951363450096451,0.38805709948026146,,1.1545725829372442,0.26929698709586747,0.07394605889660544,0.09291144444050059,0.0613014313742406,0.006182266920608859,0.10483697665927671
rot_p90,0.03093273894258508,0.0,0.06195085161857339,0.046435887995387226,0.0628112284540201,0.2262942372470056,0.1837067165490438,0.08941623449563108,0.12885708628614312,0.0,0.05553371370742699,0.101053416756268,0.10476576595086384,0.10017953973904126,0.022185005938543334,0.06477572613540694,0.03150023314839778,0.3442105554208197,0.32914799081636725,1.1545725829372442,,0.28430807862158525,0.08003198519936161,4.724375348508225e-05,0.02529735658978316,0.02227451003792069,0.03224351569553452
jerk,0.019502618210524236,0.0,0.009106638966463576,0.040207660366674114,0.00539365348032228,0.10427082140497768,0.043817091741801484,0.04056380349112665,0.08203654931550575,0.052940056687504455,0.0,0.05900283779017035,0.0,0.016951191459365855,0.06683291745524533,0.0036564351352044167,0.0155710437650185,0.574634953721493,0.8486432222877307,0.26929698709586747,0.28430807862158525,,0.005401945055610646,0.03740234304343337,0.08173812033154815,0.1501523761686605,0.07355280234509531
fisheye_dark,0.022176674238409966,0.046012898617772136,0.04877352872151697,0.0,0.06224872484489019,0.043042759660979035,0.0,0.0477565090689227,0.2968100798571607,0.04999074963064798,0.18884498312330966,0.14372942550836565,0.19765055130880604,0.19587304500371427,0.0685525994346321,0.024865251098971974,0.0,0.04399454292642524,0.0014461830510015261,0.07394605889660544,0.08003198519936161,0.005401945055610646,,0.33611598689074684,0.4383728830423572,0.24960441351944573,0.6296879730062583
fisheye_bright,0.0074908169905296695,0.1147634609356234,0.058940610912102676,0.013635874824929228,0.02777291156941697,0.03417994077336095,0.1200627504296039,0.06535772084476399,0.2453844909480951,0.06764671094162011,0.1727037595397034,0.13043965422948056,0.16645086615337412,0.23198876376254662,0.12831992485477328,0.03641331142931681,0.03554594995335947,0.08925253488300999,0.0021326367014915526,0.09291144444050059,4.724375348508225e-05,0.03740234304343337,0.33611598689074684,,0.6584657237933764,0.1881892913983838,0.6453088575905093
fisheye_sharpness,0.027604643303581478,0.11846606591728848,0.0,0.0,0.003929090675898417,0.021026423415742235,0.10146785546970194,0.08523537692031047,0.4013724119215687,0.05935134345020199,0.24179852940612934,0.13032280013653108,0.2594627071924347,0.38633573714087244,0.06044548072344291,0.003478147972590273,0.0,0.10583638298816478,0.07649883871601149,0.0613014313742406,0.02529735658978316,0.08173812033154815,0.4383728830423572,0.6584657237933764,,0.5440306352296544,1.4700471263809938
fisheye_corr,0.0682969441337764,0.2690574767452649,0.0,0.0,0.007780674006088839,0.0,0.0,0.0492211373290683,0.2175229657881208,0.07098354171073873,0.10761547486715184,0.07820987144842362,0.08248222259356042,0.17198688456811628,0.1298281969052666,0.03759409061878438,0.0,0.01828510356627855,0.07538045790821335,0.006182266920608859,0.02227451003792069,0.1501523761686605,0.24960441351944573,0.1881892913983838,0.5440306352296544,,0.5310582761952374
fisheye_texture,0.015914770781815468,0.09228584604142642,0.07581586123813566,0.07623992419999825,0.05247925332849723,0.047678714603468286,0.0,0.021002504617305906,0.37935343192754445,0.15209937770295556,0.3323547343188875,0.15612851801430305,0.3160534554763197,0.3329973979652654,0.07211212447351367,0.07517576710474438,0.033210645485246326,0.085816269064104,0.08258250586475113,0.10483697665927671,0.03224351569553452,0.07355280234509531,0.6296879730062583,0.6453088575905093,1.4700471263809938,0.5310582761952374,
