scene_id,phase,tier_uniform_v1,score_uniform_v1,weight_flip_rate,confidence
scene26.gaming2.JUMBOTRONSTAGE,1,easy,0.424304776156628,0.248,medium
scene26.gaming2.JUMBOTRONSTAGE,2,hard,0.5697717919940142,0.336,medium
scene27.gaming2.JUMBOTRONSTAGE,0,hard,0.6289437585733881,0.021,high
scene27.gaming2.JUMBOTRONSTAGE,1,easy,0.44831026312507793,0.395,medium
scene27.gaming2.JUMBOTRONSTAGE,2,hard,0.6021324354657687,0.138,medium
scene28.gaming2.JUMBOTRONSTAGE,0,hard,0.5726399800473874,0.268,medium
scene28.gaming2.JUMBOTRONSTAGE,1,easy,0.4323481730889138,0.284,medium
scene28.gaming2.JUMBOTRONSTAGE,2,hard,0.5543708691856841,0.441,medium
scene29.gaming2.JUMBOTRONSTAGE,0,medium,0.4981917944880908,0.231,medium
scene29.gaming2.JUMBOTRONSTAGE,1,easy,0.3803466766429729,0.101,medium
scene29.gaming2.JUMBOTRONSTAGE,2,medium,0.5337323855842374,0.409,medium
scene3.library.fountain,0,medium,0.5079810450180821,0.473,medium
scene3.library.fountain,1,medium,0.5097268986157876,0.377,medium
scene3.library.fountain,2,medium,0.5006235191420377,0.457,medium
scene30.gaming2.JUMBOTRONSTAGE,0,medium,0.5323606434717546,0.352,medium
scene30.gaming2.JUMBOTRONSTAGE,1,easy,0.40092280833021576,0.141,medium
scene30.gaming2.JUMBOTRONSTAGE,2,hard,0.5525626636737747,0.448,medium
scene31.ecss.3f.sofaNchairs,0,easy,0.4562289562289563,0.483,medium
scene31.ecss.3f.sofaNchairs,1,easy,0.3707444818555929,0.011,high
scene31.ecss.3f.sofaNchairs,2,easy,0.40291806958473625,0.098,high
scene32.ecss.3f.sofaNchairs,0,easy,0.41002618780396555,0.156,medium
scene32.ecss.3f.sofaNchairs,1,easy,0.3906347424865943,0.036,high
scene32.ecss.3f.sofaNchairs,2,easy,0.4057862576381095,0.155,medium
scene33.ecss.3f.sofaNchairs,0,medium,0.5319241800723282,0.531,low
scene33.ecss.3f.sofaNchairs,1,easy,0.4248035914702581,0.233,medium
scene33.ecss.3f.sofaNchairs,2,medium,0.4887143035291182,0.389,medium
scene34.ecss.3f.sofaNchairs,0,easy,0.4508043396932286,0.405,medium
scene34.ecss.3f.sofaNchairs,1,easy,0.37754084050380343,0.044,high
scene34.ecss.3f.sofaNchairs,2,medium,0.47942386831275713,0.351,medium
scene35.ecss.3f.sofaNchairs,0,easy,0.4686993390697094,0.575,low
scene35.ecss.3f.sofaNchairs,1,easy,0.343559047262751,0.002,high
scene35.ecss.3f.sofaNchairs,2,easy,0.3804713804713805,0.06,high
scene36.jo.4f,0,medium,0.48964958224217486,0.347,medium
scene36.jo.4f,1,medium,0.4840379099638359,0.392,medium
scene36.jo.4f,2,hard,0.6120463898241675,0.085,high
scene37.jo.4f,0,medium,0.5430228208005986,0.504,low
scene37.jo.4f,1,easy,0.42941763312133685,0.268,medium
scene37.jo.4f,2,medium,0.491457787754084,0.348,medium
scene38.jo.4f,0,medium,0.47555804963212367,0.488,medium
scene38.jo.4f,1,easy,0.42149894001745863,0.216,medium
scene38.jo.4f,2,hard,0.5621648584611548,0.348,medium
scene39.jo.4f,0,hard,0.5578002244668913,0.398,medium
scene39.jo.4f,1,easy,0.46352413019079686,0.542,low
scene39.jo.4f,2,hard,0.5743858336450928,0.265,medium
scene4.library.fountain,0,medium,0.4976306272602568,0.54,low
scene4.library.fountain,1,medium,0.4758698092031426,0.512,low
scene4.library.fountain,2,easy,0.4453173712432972,0.385,medium
scene40.jo.4f,0,hard,0.5987654320987654,0.117,medium
scene40.jo.4f,1,hard,0.5486968449931413,0.498,medium
scene40.jo.4f,2,hard,0.5574261129816686,0.425,medium
scene41.gh.out,0,hard,0.5941513904476868,0.171,medium
scene41.gh.out,1,medium,0.527185434592842,0.517,low
scene41.gh.out,2,hard,0.554370869185684,0.441,medium
scene42.gh.out,0,hard,0.5854221224591596,0.209,medium
scene42.gh.out,1,hard,0.5854221224591595,0.264,medium
scene42.gh.out,2,hard,0.668724279835391,0.001,high
scene43.gh.out,0,hard,0.6054994388327722,0.125,medium
scene43.gh.out,1,hard,0.5501309390198279,0.475,medium
scene43.gh.out,2,hard,0.6815064222471631,0.002,high
scene44.gh.out,0,hard,0.5592966704077815,0.401,medium
scene44.gh.out,1,hard,0.5716423494201273,0.342,medium
scene44.gh.out,2,hard,0.6137298915076692,0.063,high
scene45.gh.out,0,hard,0.6210874173837136,0.044,high
scene45.gh.out,1,hard,0.6262002743484225,0.095,high
scene45.gh.out,2,hard,0.6369248035914703,0.013,high
scene46.ecss.out.stairs,0,medium,0.5237560793116349,0.337,medium
scene46.ecss.out.stairs,1,medium,0.5402793365756329,0.504,low
scene46.ecss.out.stairs,2,medium,0.5327347549569771,0.397,medium
scene47.ecss.out.stairs,0,hard,0.6058735503179947,0.148,medium
scene47.ecss.out.stairs,1,easy,0.4682005237560794,0.571,low
scene47.ecss.out.stairs,2,easy,0.4638982416760194,0.521,low
scene48.ecss.out.stairs,0,medium,0.5235066716548199,0.365,medium
scene48.ecss.out.stairs,1,medium,0.4991270732011473,0.471,medium
scene48.ecss.out.stairs,2,easy,0.4647711684748722,0.527,low
scene49.ecss.out.stairs,0,hard,0.5677141788252899,0.315,medium
scene49.ecss.out.stairs,1,hard,0.5695847362514029,0.312,medium
scene49.ecss.out.stairs,2,hard,0.6088664421997755,0.064,high
scene5.library.fountain,0,hard,0.5760069834143908,0.312,medium
scene5.library.fountain,1,medium,0.5320488839007358,0.533,low
scene5.library.fountain,2,medium,0.5294301035041776,0.523,low
scene50.ecss.out.stairs,0,medium,0.5181444070332959,0.357,medium
scene50.ecss.out.stairs,1,medium,0.5077316373612669,0.382,medium
scene50.ecss.out.stairs,2,medium,0.5289312881905475,0.425,medium
scene51.TENNISCOURTS.Ground,0,easy,0.4033545329841626,0.139,medium
scene51.TENNISCOURTS.Ground,1,easy,0.4428856465893503,0.355,medium
scene51.TENNISCOURTS.Ground,2,easy,0.4441950367876294,0.382,medium
scene52.TENNISCOURTS.Ground,0,medium,0.487217857588228,0.421,medium
scene52.TENNISCOURTS.Ground,1,medium,0.490148397555805,0.425,medium
scene52.TENNISCOURTS.Ground,2,medium,0.5226337448559671,0.401,medium
scene53.TENNISCOURTS.Ground,0,easy,0.4291058735503181,0.276,medium
scene53.TENNISCOURTS.Ground,1,medium,0.4788003491707196,0.411,medium
scene53.TENNISCOURTS.Ground,2,medium,0.4690110986407283,0.526,low
scene54.TENNISCOURTS.Ground,0,easy,0.39824167601945387,0.129,medium
scene54.TENNISCOURTS.Ground,1,medium,0.48503554059109627,0.242,medium
scene54.TENNISCOURTS.Ground,2,easy,0.39244294799850354,0.082,high
scene55.TENNISCOURTS.Ground,0,easy,0.33638857712931797,0.008,high
scene55.TENNISCOURTS.Ground,1,easy,0.43172465394687615,0.28,medium
scene55.TENNISCOURTS.Ground,2,easy,0.4242424242424242,0.219,medium
scene56.jsom.atrium,0,medium,0.5291183439331587,0.453,medium
scene56.jsom.atrium,1,easy,0.3989275470756952,0.065,high
scene56.jsom.atrium,2,hard,0.5558673151265744,0.425,medium
scene57.jsom.atrium,0,easy,0.4361516398553436,0.313,medium
scene57.jsom.atrium,1,easy,0.4126449682005237,0.068,high
scene57.jsom.atrium,2,easy,0.4520513779773039,0.393,medium
scene59.jsom.atrium,0,easy,0.45024317246539464,0.419,medium
scene59.jsom.atrium,1,medium,0.4781768300286818,0.44,medium
scene59.jsom.atrium,2,medium,0.4822297044519267,0.415,medium
scene6.ecsn.4f.sofa,0,medium,0.5105374735004364,0.472,medium
scene6.ecsn.4f.sofa,1,easy,0.3557176705324853,0.044,high
scene6.ecsn.4f.sofa,2,medium,0.49968824042898125,0.404,medium
scene60.jsom.atrium,0,easy,0.4628382591345555,0.522,low
scene60.jsom.atrium,1,medium,0.468824042898117,0.465,medium
scene60.jsom.atrium,2,easy,0.4345928420002494,0.252,medium
scene61.ecsw.axxess-atrium,0,hard,0.6215238807831399,0.065,high
scene61.ecsw.axxess-atrium,1,hard,0.6864322234692604,0.0,high
scene61.ecsw.axxess-atrium,2,hard,0.6513280957725401,0.017,high
scene62.ecsw.axxess-atrium,0,hard,0.6454670158373863,0.015,high
scene62.ecsw.axxess-atrium,1,hard,0.6422247162987903,0.024,high
scene62.ecsw.axxess-atrium,2,hard,0.6134181319366504,0.1,medium
scene63.ecsw.axxess-atrium,0,hard,0.71324354657688,0.005,high
scene63.ecsw.axxess-atrium,1,hard,0.6194662676144157,0.078,high
scene63.ecsw.axxess-atrium,2,hard,0.606871180945255,0.097,high
scene64.ecsw.axxess-atrium,0,medium,0.54320987654321,0.482,medium
scene64.ecsw.axxess-atrium,1,hard,0.5460157126823794,0.48,medium
scene64.ecsw.axxess-atrium,2,hard,0.5489462526499563,0.477,medium
scene65.ecsw.axxess-atrium,0,hard,0.5800598578376356,0.244,medium
scene65.ecsw.axxess-atrium,1,hard,0.5830527497194163,0.214,medium
scene65.ecsw.axxess-atrium,2,hard,0.545329841626138,0.506,low
scene66.ecsw.3f.dept,0,medium,0.49532360643471746,0.337,medium
scene66.ecsw.3f.dept,1,easy,0.45342312008978675,0.426,medium
scene66.ecsw.3f.dept,2,medium,0.5361017583239805,0.485,medium
scene67.ecsw.3f.dept,0,hard,0.586357401172216,0.199,medium
scene67.ecsw.3f.dept,1,medium,0.5288689362763437,0.47,medium
scene67.ecsw.3f.dept,2,medium,0.5381593714927048,0.406,medium
scene68.ecsw.3f.dept,0,easy,0.4473126324978176,0.378,medium
scene68.ecsw.3f.dept,1,medium,0.5094151390447688,0.455,medium
scene68.ecsw.3f.dept,2,medium,0.5004988153136302,0.398,medium
scene69.ecsw.3f.dept,0,medium,0.4750592343184935,0.481,medium
scene69.ecsw.3f.dept,1,medium,0.4862202269609676,0.466,medium
scene69.ecsw.3f.dept,2,medium,0.5345429604688863,0.412,medium
scene7.ecsn.4f.sofa,0,hard,0.5451427858835266,0.524,low
scene7.ecsn.4f.sofa,1,medium,0.47106871180945253,0.555,low
scene7.ecsn.4f.sofa,2,medium,0.5291806958473626,0.488,medium
scene70.ecsw.3f.dept,0,medium,0.47231575009352783,0.427,medium
scene70.ecsw.3f.dept,1,hard,0.5472003990522508,0.486,medium
scene70.ecsw.3f.dept,2,hard,0.5465768799102132,0.479,medium
scene71.ecsw.atriumStairs,0,easy,0.40167103130066095,0.102,medium
scene71.ecsw.atriumStairs,1,easy,0.34867190422745975,0.008,high
scene71.ecsw.atriumStairs,2,easy,0.3681257014590348,0.018,high
scene72.ecsw.atriumStairs,0,easy,0.41651078688115734,0.144,medium
scene72.ecsw.atriumStairs,1,easy,0.43527871305649085,0.311,medium
scene72.ecsw.atriumStairs,2,easy,0.4657687991021324,0.529,low
scene73.ecsw.atriumStairs,0,easy,0.38770420251901744,0.055,high
scene73.ecsw.atriumStairs,1,easy,0.42898116972191047,0.273,medium
scene73.ecsw.atriumStairs,2,easy,0.3706197780271854,0.062,high
scene74.ecsw.atriumStairs,0,medium,0.47131811946626767,0.485,medium
scene74.ecsw.atriumStairs,1,medium,0.5328594587853847,0.468,medium
scene74.ecsw.atriumStairs,2,easy,0.43889512408030923,0.321,medium
scene75.ecsw.atriumStairs,0,easy,0.3623893253522883,0.006,high
scene75.ecsw.atriumStairs,1,easy,0.42037660556179074,0.206,medium
scene75.ecsw.atriumStairs,2,easy,0.46495822421748345,0.54,low
scene76.gaming2,0,hard,0.5599201895498191,0.409,medium
scene76.gaming2,1,easy,0.43103878289063474,0.269,medium
scene76.gaming2,2,hard,0.561853098890136,0.366,medium
scene77.gaming2,0,medium,0.50480109739369,0.312,medium
scene77.gaming2,1,easy,0.4236189051003865,0.224,medium
scene77.gaming2,2,medium,0.4868437461030053,0.368,medium
scene78.gaming2,0,medium,0.5185185185185185,0.426,medium
scene78.gaming2,1,easy,0.4566654196283826,0.456,medium
scene78.gaming2,2,medium,0.5387205387205387,0.5,low
scene79.gaming2,0,medium,0.48971193415637865,0.352,medium
scene79.gaming2,1,medium,0.4694475620401547,0.509,low
scene79.gaming2,2,hard,0.5536849981294426,0.464,medium
scene8.ecsn.4f.sofa,0,medium,0.4840379099638359,0.394,medium
scene8.ecsn.4f.sofa,1,easy,0.37785260007482235,0.054,high
scene8.ecsn.4f.sofa,2,medium,0.48834019204389567,0.455,medium
scene80.gaming2,0,hard,0.5590472627509665,0.413,medium
scene80.gaming2,1,medium,0.489587230327971,0.441,medium
scene80.gaming2,2,hard,0.5459533607681757,0.524,low
scene81.jsom.garden.pot,0,hard,0.6752712308267864,0.006,high
scene81.jsom.garden.pot,1,hard,0.5493203641351789,0.495,medium
scene81.jsom.garden.pot,2,hard,0.5909090909090909,0.149,medium
scene82.jsom.garden.pot,0,hard,0.6540715799975059,0.035,high
scene82.jsom.garden.pot,1,medium,0.5351664796109241,0.517,low
scene82.jsom.garden.pot,2,hard,0.5636613044020451,0.378,medium
scene83.jsom.garden.pot,0,hard,0.6174086544456914,0.068,high
scene83.jsom.garden.pot,1,hard,0.6094276094276094,0.131,medium
scene83.jsom.garden.pot,2,medium,0.5361641102381843,0.427,medium
scene84.jsom.garden.pot,0,hard,0.5833645092904353,0.249,medium
scene84.jsom.garden.pot,1,hard,0.6038782890634742,0.097,high
scene84.jsom.garden.pot,2,medium,0.5434592842000249,0.493,medium
scene85.jsom.garden.pot,0,hard,0.5814315999501185,0.228,medium
scene85.jsom.garden.pot,1,hard,0.6096770170844245,0.092,high
scene85.jsom.garden.pot,2,medium,0.541339319117097,0.519,low
scene86.jsom.atrium,0,hard,0.5985783763561542,0.17,medium
scene86.jsom.atrium,1,medium,0.5321735877291434,0.428,medium
scene86.jsom.atrium,2,easy,0.43496695348547193,0.258,medium
scene87.jsom.atrium,0,hard,0.5640977678014716,0.394,medium
scene87.jsom.atrium,1,hard,0.6171592467888765,0.08,high
scene87.jsom.atrium,2,hard,0.5851727148023445,0.19,medium
scene88.jsom.atrium,0,hard,0.5793116348671904,0.288,medium
scene88.jsom.atrium,1,hard,0.6295049258012221,0.066,high
scene88.jsom.atrium,2,hard,0.5664047886270108,0.323,medium
scene89.jsom.atrium,0,medium,0.5137174211248285,0.439,medium
scene89.jsom.atrium,1,hard,0.5822421748347674,0.208,medium
scene89.jsom.atrium,2,hard,0.5634118967452301,0.377,medium
scene9.ecsn.4f.sofa,0,hard,0.5626013218605812,0.398,medium
scene9.ecsn.4f.sofa,1,medium,0.5024317246539469,0.487,medium
scene9.ecsn.4f.sofa,2,medium,0.4956353660057363,0.414,medium
scene90.jsom.atrium,0,medium,0.5361641102381843,0.508,low
scene90.jsom.atrium,1,medium,0.4900236937273974,0.285,medium
scene90.jsom.atrium,2,easy,0.4665170220725776,0.533,low
scene91.gh.out,0,hard,0.5617283950617284,0.368,medium
scene91.gh.out,1,easy,0.3416261379224342,0.012,high
scene91.gh.out,2,medium,0.5400922808330215,0.488,medium
scene92.gh.out,0,easy,0.46352413019079686,0.534,low
scene92.gh.out,1,easy,0.351789499937648,0.014,high
scene92.gh.out,2,medium,0.5286195286195287,0.412,medium
scene93.gh.out,0,medium,0.4735627883776032,0.442,medium
scene93.gh.out,1,easy,0.38945005611672284,0.133,medium
scene93.gh.out,2,medium,0.48484848484848486,0.433,medium
scene94.gh.out,0,medium,0.5082304526748972,0.266,medium
scene94.gh.out,1,easy,0.29579748098266617,0.001,high
scene94.gh.out,2,medium,0.5369746851228333,0.449,medium
scene95.gh.out,0,hard,0.5768799102132435,0.304,medium
scene95.gh.out,1,easy,0.40466392318244176,0.145,medium
scene95.gh.out,2,medium,0.5415887267739119,0.431,medium
scene96.jsom.atrium,0,medium,0.5084798603317122,0.437,medium
scene96.jsom.atrium,1,hard,0.5800598578376357,0.23,medium
scene96.jsom.atrium,2,medium,0.5104127696720289,0.371,medium
scene97.jsom.atrium,0,medium,0.4779274223718668,0.512,low
scene97.jsom.atrium,1,medium,0.48123207382466643,0.439,medium
scene97.jsom.atrium,2,medium,0.4740616036912333,0.506,low
scene98.jsom.atrium,0,medium,0.5390322982915575,0.61,low
scene98.jsom.atrium,1,easy,0.4546701583738621,0.447,medium
scene98.jsom.atrium,2,medium,0.4804838508542212,0.461,medium
scene99.jsom.atrium,0,medium,0.4891507669285447,0.437,medium
scene99.jsom.atrium,1,easy,0.4375857338820302,0.306,medium
scene99.jsom.atrium,2,easy,0.4673275969572266,0.532,low
