scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score
scene049.phase0,scene049,0,clutter,medium,0.538083,hard,0.562342
scene049.phase1,scene049,1,interaction,medium,0.554575,hard,0.562342
scene050.phase0,scene050,0,clutter,medium,0.509283,medium,0.518881
scene050.phase1,scene050,1,interaction,medium,0.522817,medium,0.518881
scene050.phase2,scene050,2,clean,medium,0.524542,medium,0.518881
scene052.phase0,scene052,0,clutter,medium,0.504300,medium,0.479706
scene052.phase1,scene052,1,interaction,medium,0.480133,medium,0.479706
scene052.phase2,scene052,2,clean,medium,0.454683,medium,0.479706
scene053.phase1,scene053,1,interaction,medium,0.475258,easy,0.421325
scene054.phase1,scene054,1,interaction,medium,0.469125,easy,0.407875
scene056.phase0,scene056,0,clutter,medium,0.520492,medium,0.474803
scene056.phase2,scene056,2,clean,medium,0.546833,medium,0.474803
scene058.phase1,scene058,1,interaction,medium,0.541100,medium,0.509889
scene059.phase1,scene059,1,interaction,medium,0.464475,easy,0.427314
scene006.phase0,scene006,0,clutter,medium,0.548242,medium,0.489561
scene006.phase2,scene006,2,clean,medium,0.505392,medium,0.489561
scene060.phase1,scene060,1,interaction,medium,0.465808,easy,0.418358
scene064.phase0,scene064,0,clutter,medium,0.471133,medium,0.472750
scene064.phase1,scene064,1,interaction,medium,0.471483,medium,0.472750
scene064.phase2,scene064,2,clean,medium,0.475633,medium,0.472750
scene065.phase0,scene065,0,clutter,medium,0.500333,medium,0.491250
scene065.phase1,scene065,1,interaction,medium,0.500583,medium,0.491250
scene065.phase2,scene065,2,clean,medium,0.472833,medium,0.491250
scene066.phase2,scene066,2,clean,medium,0.465033,easy,0.431617
scene067.phase1,scene067,1,interaction,medium,0.516950,hard,0.553081
scene068.phase1,scene068,1,interaction,medium,0.443633,easy,0.424100
scene069.phase2,scene069,2,clean,medium,0.558833,medium,0.465783
scene007.phase1,scene007,1,interaction,medium,0.533350,medium,0.518936
scene007.phase2,scene007,2,clean,medium,0.458933,medium,0.518936
scene072.phase1,scene072,1,interaction,medium,0.504067,medium,0.481444
scene072.phase2,scene072,2,clean,medium,0.524683,medium,0.481444
scene073.phase0,scene073,0,clutter,medium,0.456967,easy,0.460828
scene073.phase1,scene073,1,interaction,medium,0.494700,easy,0.460828
scene074.phase0,scene074,0,clutter,medium,0.458025,medium,0.494272
scene074.phase1,scene074,1,interaction,medium,0.546033,medium,0.494272
scene074.phase2,scene074,2,clean,medium,0.478758,medium,0.494272
scene076.phase1,scene076,1,interaction,medium,0.453042,medium,0.528772
scene076.phase2,scene076,2,clean,medium,0.557192,medium,0.528772
scene077.phase0,scene077,0,clutter,medium,0.513792,medium,0.461872
scene077.phase1,scene077,1,interaction,medium,0.445792,medium,0.461872
scene078.phase0,scene078,0,clutter,medium,0.532058,medium,0.491144
scene078.phase1,scene078,1,interaction,medium,0.473242,medium,0.491144
scene078.phase2,scene078,2,clean,medium,0.468133,medium,0.491144
scene079.phase0,scene079,0,clutter,medium,0.516850,medium,0.523144
scene079.phase1,scene079,1,interaction,medium,0.487692,medium,0.523144
scene008.phase0,scene008,0,clutter,medium,0.539650,easy,0.432639
scene080.phase1,scene080,1,interaction,medium,0.531967,hard,0.566253
scene083.phase2,scene083,2,clean,medium,0.532142,hard,0.596653
scene084.phase0,scene084,0,clutter,medium,0.504083,medium,0.527014
scene084.phase2,scene084,2,clean,medium,0.471033,medium,0.527014
scene085.phase2,scene085,2,clean,medium,0.469433,hard,0.557739
scene086.phase1,scene086,1,interaction,medium,0.500667,medium,0.500372
scene089.phase0,scene089,0,clutter,medium,0.496517,medium,0.528594
scene089.phase2,scene089,2,clean,medium,0.487183,medium,0.528594
scene009.phase1,scene009,1,interaction,medium,0.530758,medium,0.529517
scene090.phase0,scene090,0,clutter,medium,0.552208,medium,0.464608
scene092.phase2,scene092,2,clean,medium,0.459233,easy,0.406911
scene094.phase0,scene094,0,clutter,medium,0.510192,easy,0.450914
scene097.phase0,scene097,0,clutter,medium,0.537150,medium,0.485528
scene097.phase1,scene097,1,interaction,medium,0.504300,medium,0.485528
scene098.phase1,scene098,1,interaction,medium,0.513983,hard,0.544067
scene098.phase2,scene098,2,clean,medium,0.528883,hard,0.544067
scene099.phase0,scene099,0,clutter,medium,0.544800,medium,0.528356
scene099.phase1,scene099,1,interaction,medium,0.504550,medium,0.528356
scene099.phase2,scene099,2,clean,medium,0.535717,medium,0.528356
