scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score
scene061.phase2,scene061,2,clean,hard,0.644317,hard,0.665508
scene062.phase0,scene062,0,clutter,hard,0.634492,hard,0.646361
scene062.phase1,scene062,1,interaction,hard,0.656925,hard,0.646361
scene062.phase2,scene062,2,clean,hard,0.647667,hard,0.646361
scene063.phase0,scene063,0,clutter,hard,0.726200,hard,0.637850
scene063.phase1,scene063,1,interaction,hard,0.620975,hard,0.637850
scene063.phase2,scene063,2,clean,hard,0.566375,hard,0.637850
scene067.phase0,scene067,0,clutter,hard,0.562767,hard,0.553081
scene067.phase2,scene067,2,clean,hard,0.579525,hard,0.553081
scene007.phase0,scene007,0,clutter,hard,0.564525,medium,0.518936
scene070.phase1,scene070,1,interaction,hard,0.561050,medium,0.512422
scene070.phase2,scene070,2,clean,hard,0.562833,medium,0.512422
scene076.phase0,scene076,0,clutter,hard,0.576083,medium,0.528772
scene079.phase2,scene079,2,clean,hard,0.564892,medium,0.523144
scene080.phase0,scene080,0,clutter,hard,0.595583,hard,0.566253
scene080.phase2,scene080,2,clean,hard,0.571208,hard,0.566253
scene081.phase0,scene081,0,clutter,hard,0.686808,hard,0.627608
scene081.phase1,scene081,1,interaction,hard,0.590950,hard,0.627608
scene081.phase2,scene081,2,clean,hard,0.605067,hard,0.627608
scene082.phase0,scene082,0,clutter,hard,0.681483,hard,0.616817
scene082.phase1,scene082,1,interaction,hard,0.580200,hard,0.616817
scene082.phase2,scene082,2,clean,hard,0.588767,hard,0.616817
scene083.phase0,scene083,0,clutter,hard,0.626458,hard,0.596653
scene083.phase1,scene083,1,interaction,hard,0.631358,hard,0.596653
scene084.phase1,scene084,1,interaction,hard,0.605925,medium,0.527014
scene085.phase0,scene085,0,clutter,hard,0.592000,hard,0.557739
scene085.phase1,scene085,1,interaction,hard,0.611783,hard,0.557739
scene086.phase0,scene086,0,clutter,hard,0.616717,medium,0.500372
scene087.phase0,scene087,0,clutter,hard,0.604383,hard,0.616831
scene087.phase1,scene087,1,interaction,hard,0.642750,hard,0.616831
scene087.phase2,scene087,2,clean,hard,0.603358,hard,0.616831
scene088.phase0,scene088,0,clutter,hard,0.594558,hard,0.602861
scene088.phase1,scene088,1,interaction,hard,0.619200,hard,0.602861
scene088.phase2,scene088,2,clean,hard,0.594825,hard,0.602861
scene089.phase1,scene089,1,interaction,hard,0.602083,medium,0.528594
scene009.phase0,scene009,0,clutter,hard,0.626258,medium,0.529517
scene091.phase0,scene091,0,clutter,hard,0.572033,medium,0.513653
scene091.phase2,scene091,2,clean,hard,0.596483,medium,0.513653
scene094.phase2,scene094,2,clean,hard,0.563667,easy,0.450914
scene095.phase0,scene095,0,clutter,hard,0.609175,hard,0.536622
scene095.phase2,scene095,2,clean,hard,0.562383,hard,0.536622
scene096.phase0,scene096,0,clutter,hard,0.595300,hard,0.595989
scene096.phase1,scene096,1,interaction,hard,0.623917,hard,0.595989
scene096.phase2,scene096,2,clean,hard,0.568750,hard,0.595989
scene098.phase0,scene098,0,clutter,hard,0.589333,hard,0.544067
